21004.7;-42728.8;198948
-2.12741e+06;82766.7;6.31632e+06
22316.6;-23171.2;202967
34433.1;-23722.1;198979
8226.32;-21944.7;197633
5453.9;-22160;199419
-648408;104706;2.13701e+06
-1.10546e+08;6.83215e+06;3.42251e+08
5056.93;-46276.2;201161
1.35598e+06;-1.53208e+06;-1.10363e+07
21505.7;-46135;199702
254170;129336;1.43678e+06
479311;248960;2.77143e+06
241986;136774;1.39877e+06
499934;196004;2.89046e+06
-297123;97100.1;631091
318087;99689.3;1.97527e+06
-344692;201390;1.40675e+06
332760;-8012.18;2.06631e+06
359918;172487;2.08355e+06
-307383;98181.4;638697
359240;152590;2.65418e+06
1.3741e+07;7.62827e+06;7.83029e+07
493308;211885;2.85222e+06
45920.9;-23402.2;197122
21383.6;-31394.5;195541
405371;-85609.7;2.27839e+06
9052.11;-33773.9;191823
-606944;280514;1.94212e+06
-965030;235986;2.58327e+06
66497.8;51297.2;136942
-751120;181877;2.03284e+06
29723.3;-31914.3;197105
-76229.6;131187;807143
378242;-25370.6;2.1736e+06
65610.9;42987.7;114054
35486.9;-33478.3;197535
-1.63367e+06;686426;7.6396e+06
-624419;192715;1.50905e+06
224542;126681;1.29865e+06
370491;144051;2.14619e+06
367831;156257;2.13081e+06
353960;-99417.6;1.42215e+06
-125711;146473;1.02121e+06
9110.05;-33574.8;191030
214170;-238590;-1.72397e+06
1.21431e+06;363453;8.98992e+06
-949098;288198;2.2811e+06
177321;57963.7;1.15053e+06
370777;-809376;1.93458e+06
-291475;83550.1;621388
338424;105749;2.11275e+06
384616;-10320.4;2.37726e+06
362547;186630;2.10023e+06
-306614;97397.2;636775
-291750;94824.4;619943
73413.4;16429;127087
-5.5477e+06;929947;-5.72309e+07
424688;266140;2.21974e+06
-764724;185305;2.04457e+06
21868.3;-32294;200156
-745171;179722;2.01748e+06
-6399.87;96853.5;667752
-276308;160227;1.12908e+06
36929.9;-34073.8;195946
48253.8;-33075.2;201114
